"subj" "item" "rt" "dist" "distance" "pred" "predability"
"22129" 18 13 705 1 "long" -1 "predictable"
"22195" 18 25 717 1 "long" -1 "predictable"
"22250" 18 17 425 1 "long" -1 "predictable"
"22303" 18 11 557 1 "long" 1 "unpredictable"
"22323" 18 24 799 -1 "short" -1 "predictable"
"22358" 18 7 664 1 "long" 1 "unpredictable"
"22456" 18 35 484 1 "long" 1 "unpredictable"
"22476" 18 32 738 -1 "short" -1 "predictable"
"22498" 18 26 776 -1 "short" 1 "unpredictable"
"22538" 18 21 656 1 "long" -1 "predictable"
"22574" 18 6 801 -1 "short" 1 "unpredictable"
